District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
bahawalnagar,NA-191,independent,88,206143,5861,211774,326972,84.77,2013
peshawar,NA-2,independent,448,141790,2408,142031,336122,43.45,2013
sheikhupuraiicumnankana sahib old  sheikhupura,NA-132,pakistan muslim league (n),93140,160238,5378,165569,291232,56.85,2013
rahimyar khan,NA-195,independent,259,102918,1390,144889,335006,43.24,2008
tribal,NA-45,independent,29,0,0,0,0,35.01,2018
battagram,NA-22,mutahida deeni mahaz,344,71236,3400,73339,204979,35.78,2013
narowal,NA-78,independent,1670,0,0,0,0,55.06,2018
matiari,NA-223,pakistan peoples party (shaheed bhutto),1005,0,0,0,0,54.06,2018
bhakkar,NA-74,pakistan peoples party parlimentarian,13489,246463,12216,255739,375159,68.16,2013
tribal,NA-50,independent,1448,0,0,0,0,33.0,2018
kasur,NA-140,pakistan tehreek-e-insaf,124621,281981,7453,289434,477211,60.65,2018
gujranwala,NA-99,pakistan muslim league (n),97143,179614,6044,178899,318029,56.25,2013
islamabad,NA-54,pakhtoonkhwa milli awami party,51,0,0,0,0,54.24,2018
chiniotii cumjhang old na jhang,NA-87,independent,575,206990,8488,215478,367617,58.61,2013
toba tek singh,NA-93,independent,262,157400,3378,160778,309393,51.97,2002
karachi,NA-245,muttahida qaumi movement,51696,102481,1106,103587,255754,40.5,2002
mansehra,NA-21,independent,251,0,0,0,424342,0.0,2008
tribal,NA-42,independent,273,0,0,0,0,0.0,2018
mirpurkhas,NA-226,mohajar qaumi movement pakistan,565,115311,2519,117830,261129,45.1,2002
sialkot,NA-113,jamiat ulama-e-pakistan (noorani),796,196602,5205,200989,353741,56.5,2013
tribal area,NA-42,independent,3066,12649,208,12507,108056,11.57,2013
kamber shahdadkot old larkana,NA-206,independent,493,115482,6649,122130,258115,47.31,2013
tribal,NA-49,independent,35,0,0,0,0,20.71,2018
nawabshah,NA-213,independent,115,129270,3183,132453,330639,40.06,2002
tribal area,NA-46,independent,146,22248,195,22443,94208,23.8,2008
